fecha,sector,peso_total,indice_12m_idx,indice_12m_pred_ma,brecha
2015-10-01,Otros Servicios,14.89,82.36451612616226,,
2015-10-01,Minería,12.150090493066784,77.77966492505426,,
2015-10-01,Comercio,10.177576612562678,91.00762830063263,,
2015-10-01,Agro,5.966348966039294,83.91807754571855,,
2015-10-01,Construcción,5.103959110771897,94.46422795378795,,
2015-10-01,Transporte,4.97,86.50243501414252,,
2015-10-01,Servicios a Empresas,4.24,89.7186286175332,,
2015-10-01,Servicios Financieros,3.22,83.11258106586375,,
2015-10-01,Alojamiento y Restaurantes,2.86,87.79062792159887,,
2015-10-01,Petróleo,2.204931356019681,105.91225687394648,,
2015-10-01,Pesca,0.739459418879988,82.08092455562813,,
2015-11-01,PBI,100,87.23822205996412,,
2015-11-01,Manufactura,16.51803448933821,96.6573107420872,,
2015-11-01,Otros Servicios,14.89,82.76242435026262,,
