anio,cat,siaf_id,pia,pim,devengado
2008,total,300233,4272422,7518142,5972397
2008,total,300234,1999894,3642818,2436186
2008,total,300235,1280638,1589790,1550849
2008,total,300236,2962830,5883877,3077940
2008,total,300237,1466049,2220467,1624223
2008,total,300238,4334972,6640918,6285988
2008,total,300239,2878890,4860452,3099202
2008,total,300240,2896692,4318017,3272176
2008,total,300241,6475617,12010456,7864202
2008,total,300242,2044710,3520222,2932106
2008,total,300243,17248567,35937416,10881728
2008,total,300244,2091086,3881743,3449419
2008,total,300245,5339556,10525235,4872160
2008,total,300246,1504032,2365192,1543420
2008,total,300247,11437159,24168173,17021562
2008,total,300248,2794449,5037957,3273256
2008,total,300249,2295101,4086517,2458338
2008,total,300250,6481704,11151456,7353898
2008,total,300251,12950714,14825247,13281388
2008,total,300252,749312,762314,702388
2008,total,300253,1042307,1368032,1193429
2008,total,300254,4435620,5560704,4826681
2008,total,300255,1590161,1530483,1491163
2008,total,300256,1272605,1975383,1782970
2008,total,300257,1354274,1707763,1380087
2008,total,300258,1164749,1221318,1205872
2008,total,300259,1722217,2306515,2102162
2008,total,300260,15264816,30122278,16926543
2008,total,300261,2372532,2873980,2267091
2008,total,300262,816954,1062034,821146
2008,total,300263,2469779,2564353,2318876
2008,total,300264,1649289,1588468,1438458
2008,total,300265,733355,1437217,1221118
2008,total,300266,2400287,2355549,1989928
2008,total,300267,2020594,2260922,2082396
2008,total,300268,3146541,3271986,2969413
2008,total,300269,1019095,1379672,1034278
2008,total,300270,707193,756826,709962
2008,total,300271,1208052,1380769,1107276
2008,total,300272,6269061,7883604,4245860
2008,total,300273,871695,861676,770128
2008,total,300274,2852687,3130139,2778061
2008,total,300275,4757985,4807474,4334396
2008,total,300276,830956,2006309,1003977
2008,total,300277,1433634,1535647,1468727
2008,total,300278,935472,1095839,1063464
2008,total,300279,1995424,2955450,2505799
2008,total,300280,626213,816994,770103
2008,total,300281,724118,1223689,1172596
2008,total,300282,876451,1622666,1336299
2008,total,300283,1120003,2027210,1270667
2008,total,300284,697877,1056086,811935
2008,total,300285,758009,1020573,787156
2008,total,300286,3414200,5501686,4019260
2008,total,300287,709337,1243208,1058245
2008,total,300288,893606,1462340,1318342
2008,total,300289,1434524,1984400,1423394
2008,total,300290,759584,1151639,962832
2008,total,300291,3819515,8117604,4837072
2008,total,300292,792401,1403824,1258508
2008,total,300293,853124,1328419,1005436
2008,total,300294,1422041,1747181,1434807
2008,total,300295,921056,1177549,950755
2008,total,300296,843418,1092191,968628
2008,total,300297,871581,1523255,1375041
2008,total,300298,798372,1109403,931145
2008,total,300299,1598129,2547874,1890162
2008,total,300300,2041725,2435384,1956725
2008,total,300301,1056218,1735414,1105909
2008,total,300302,935036,1047163,958896
2008,total,300303,6640337,8377801,6947204
2008,total,300304,1779023,2397857,1683910
2008,total,300305,3143485,3588381,2865011
2008,total,300306,3652757,4871496,2843134
2008,total,300307,2583964,2948216,2673755
2008,total,300308,2461033,3755144,3312030
2008,total,300309,3732673,7619769,5164882
2008,total,300310,2644726,4882867,3750019
2008,total,300311,908439,2000426,1014416
2008,total,300312,2677793,2822644,2255370
2008,total,300313,2807209,4359521,2915179
2008,total,300314,2651070,4266123,2297104
2008,total,300315,1086170,1539121,1268881
