ano,semana,tipo_dx,n
2005,46,P,91
2005,47,C,6
2005,47,P,74
2005,48,C,9
2005,48,P,66
2005,49,C,10
2005,49,P,73
2005,50,C,8
2005,50,P,65
2005,51,C,4
2005,51,P,54
2005,52,C,5
2005,52,P,62
2006,1,C,42
2006,1,P,73
2006,2,C,34
2006,2,P,73
2006,3,C,32
2006,3,P,66
2006,4,C,41
2006,4,P,99
2006,5,C,47
2006,5,P,144
2006,6,C,32
2006,6,P,149
2006,7,C,20
2006,7,P,147
2006,8,C,21
2006,8,P,124
2006,9,C,43
2006,9,P,99
2006,10,C,27
2006,10,P,96
2006,11,C,19
2006,11,P,86
2006,12,C,16
2006,12,P,77
2006,13,C,20
2006,13,P,58
2006,14,C,20
2006,14,P,48
2006,15,C,20
2006,15,P,30
2006,16,C,34
2006,16,P,57
2006,17,C,30
2006,17,P,42
2006,18,C,104
2006,18,P,57
2006,19,C,98
2006,19,P,54
2006,20,C,74
2006,20,P,71
2006,21,C,102
2006,21,P,57
2006,22,C,94
2006,22,P,52
2006,23,C,76
2006,23,P,15
2006,24,C,35
2006,24,P,23
2006,25,C,24
2006,25,P,25
2006,26,C,4
2006,26,P,16
2006,27,C,7
2006,27,P,28
2006,28,C,9
2006,28,P,33
2006,29,C,2
2006,29,P,32
2006,30,C,6
2006,30,P,22
2006,31,C,7
2006,31,P,23
2006,32,C,6
2006,32,P,32
2006,33,C,7
2006,33,P,26
2006,34,C,9
2006,34,P,55
2006,35,C,6
2006,35,P,39
2006,36,C,2
2006,36,P,42
2006,37,C,2
2006,37,P,55
2006,38,C,3
2006,38,P,55
2006,39,P,60
2006,40,C,1
2006,40,P,34
2006,41,C,5
2006,41,P,54
2006,42,C,3
2006,42,P,56
2006,43,P,48
2006,44,C,5
2006,44,P,42
2006,45,C,4
2006,45,P,40
2006,46,C,7
2006,46,P,27
2006,47,C,8
2006,47,P,39
2006,48,C,6
2006,48,P,26
2006,49,C,3
2006,49,P,19
2006,50,C,1
2006,50,P,37
2006,51,C,1
2006,51,P,21
2006,52,P,20
2007,1,C,45
2007,1,P,61
2007,2,C,39
2007,2,P,78
2007,3,C,38
2007,3,P,65
2007,4,C,82
2007,4,P,100
2007,5,C,99
2007,5,P,129
2007,6,C,160
2007,6,P,219
2007,7,C,217
2007,7,P,383
2007,8,C,224
2007,8,P,407
2007,9,C,118
2007,9,P,264
2007,10,C,96
2007,10,P,199
2007,11,C,80
2007,11,P,146
2007,12,C,77
2007,12,P,127
2007,13,C,46
2007,13,P,95
2007,14,C,40
2007,14,P,70
2007,15,C,70
2007,15,P,48
2007,16,C,88
2007,16,P,51
2007,17,C,283
2007,17,P,27
2007,18,C,167
2007,18,P,29
2007,19,C,120
2007,19,P,37
2007,20,C,65
2007,20,P,37
2007,21,C,48
2007,21,P,19
2007,22,C,40
2007,22,P,25
2007,23,C,24
2007,23,P,30
2007,24,C,11
2007,24,P,26
2007,25,C,12
2007,25,P,13
2007,26,C,11
2007,26,P,7
2007,27,C,11
2007,27,P,17
2007,28,C,9
2007,28,P,20
2007,29,C,2
2007,29,P,22
2007,30,C,13
2007,30,P,11
2007,31,C,16
2007,31,P,32
2007,32,C,19
2007,32,P,16
2007,33,C,23
2007,33,P,9
2007,34,C,7
2007,34,P,14
2007,35,C,6
2007,35,P,18
2007,36,C,14
2007,36,P,23
2007,37,C,6
2007,37,P,17
2007,38,C,11
2007,38,P,18
2007,39,C,9
2007,39,P,21
2007,40,C,14
2007,40,P,19
2007,41,C,13
2007,41,P,36
2007,42,C,13
2007,42,P,41
2007,43,C,21
2007,43,P,37
2007,44,C,13
2007,44,P,38
2007,45,C,16
2007,45,P,71
2007,46,C,9
2007,46,P,50
2007,47,C,26
2007,47,P,53
2007,48,C,31
2007,48,P,47
2007,49,C,39
2007,49,P,74
2007,50,C,42
2007,50,P,65
2007,51,C,37
2007,51,P,52
2007,52,C,47
2007,52,P,64
2008,1,C,98
2008,1,P,75
2008,2,C,82
2008,2,P,103
2008,3,C,96
2008,3,P,101
2008,4,C,85
2008,4,P,148
2008,5,C,114
2008,5,P,155
2008,6,C,142
2008,6,P,119
2008,7,C,192
2008,7,P,168
2008,8,C,221
2008,8,P,221
2008,9,C,196
2008,9,P,278
2008,10,C,168
2008,10,P,209
2008,11,C,182
2008,11,P,140
2008,12,C,141
2008,12,P,58
2008,13,C,181
2008,13,P,83
2008,14,C,153
2008,14,P,92
2008,15,C,110
2008,15,P,76
2008,16,C,139
2008,16,P,59
2008,17,C,114
2008,17,P,54
2008,18,C,115
2008,18,P,33
2008,19,C,150
2008,19,P,27
2008,20,C,169
2008,20,P,11
2008,21,C,205
2008,21,P,1
2008,22,C,236
2008,22,P,2
2008,23,C,232
2008,23,P,5
2008,24,C,222
2008,24,P,1
2008,25,C,131
2008,25,P,6
2008,26,C,90
2008,26,P,8
2008,27,C,64
2008,27,P,11
2008,28,C,48
2008,28,P,30
2008,29,C,44
2008,29,P,14
2008,30,C,56
2008,30,P,23
2008,31,C,38
2008,31,P,13
2008,32,C,27
2008,32,P,4
2008,33,C,57
2008,33,P,4
2008,34,C,61
2008,34,P,4
2008,35,C,79
2008,35,P,12
2008,36,C,137
2008,36,P,13
2008,37,C,98
2008,37,P,27
2008,38,C,76
2008,38,P,50
2008,39,C,67
2008,39,P,62
2008,40,C,93
2008,40,P,126
2008,41,C,92
2008,41,P,252
2008,42,C,117
2008,42,P,343
2008,43,C,147
2008,43,P,293
2008,44,C,134
2008,44,P,273
2008,45,C,167
2008,45,P,319
2008,46,C,218
2008,46,P,251
2008,47,C,134
2008,47,P,184
2008,48,C,157
2008,48,P,229
2008,49,C,85
2008,49,P,298
2008,50,C,115
2008,50,P,272
2008,51,C,133
2008,51,P,272
2008,52,C,134
2008,52,P,290
2008,53,C,219
2008,53,P,161
2009,1,C,513
2009,2,C,514
2009,3,C,488
2009,4,C,500
2009,5,C,584
2009,6,C,692
2009,6,P,1
2009,7,C,645
2009,8,C,534
2009,9,C,642
2009,9,P,1
2009,10,C,534
2009,11,C,492
2009,11,P,2
2009,12,C,575
2009,13,C,440
2009,13,P,1
2009,14,C,383
2009,14,P,1
2009,15,C,468
2009,16,C,423
2009,16,P,1
2009,17,C,287
2009,18,C,328
2009,18,P,1
2009,19,C,436
2009,19,P,1
2009,20,C,379
2009,21,C,300
2009,22,C,142
2009,23,C,136
2009,24,C,145
2009,25,C,117
2009,26,C,96
2009,27,C,100
2009,28,C,57
2009,29,C,42
2009,30,C,60
2009,31,C,58
2009,32,C,65
2009,32,P,1
2009,33,C,79
2009,34,C,45
2009,35,C,57
2009,36,C,68
2009,37,C,79
2009,38,C,56
2009,38,P,1
2009,39,C,55
2009,40,C,52
2009,41,C,86
2009,42,C,89
2009,43,C,124
2009,44,C,112
2009,45,C,133
2009,46,C,226
2009,47,C,207
2009,48,C,209
2009,48,P,1
2009,49,C,166
2009,50,C,113
2009,51,C,93
2009,52,C,90
2009,53,C,81
2010,1,C,154
2010,2,C,163
2010,3,C,163
2010,4,C,198
2010,5,C,154
2010,6,C,196
2010,7,C,243
2010,8,C,243
2010,9,C,253
2010,10,C,322
2010,11,C,421
2010,12,C,521
2010,13,C,951
2010,14,C,1560
2010,15,C,1554
2010,16,C,1177
2010,17,C,910
2010,18,C,854
2010,19,C,815
2010,20,C,623
2010,21,C,469
2010,22,C,345
2010,23,C,319
2010,24,C,284
2010,25,C,139
2010,26,C,147
2010,27,C,144
2010,28,C,116
2010,29,C,88
2010,30,C,87
2010,31,C,116
2010,32,C,65
2010,33,C,79
2010,34,C,49
2010,35,C,27
2010,36,C,42
2010,37,C,29
2010,38,C,35
2010,39,C,37
2010,40,C,39
2010,41,C,60
2010,42,C,103
2010,43,C,126
2010,44,C,280
2010,45,C,292
2010,46,C,304
2010,47,C,376
2010,48,C,336
2010,49,C,199
2010,50,C,192
2010,51,C,197
2010,52,C,246
2011,1,C,1419
2011,2,C,2250
2011,3,C,3293
2011,4,C,2785
2011,5,C,2337
2011,6,C,3058
2011,7,C,1648
2011,8,C,1800
2011,9,C,1327
2011,10,C,1105
2011,11,C,850
2011,12,C,621
