Año,Mes,País,Turistas
2011,5,Irlanda,508
2011,5,Israel,1560
2011,5,Italia,3052
2011,5,Japón,3407
2011,5,Lituania,42
2011,5,Malasia,104
2011,5,Marruecos,21
2011,5,México,3733
2011,5,Nicaragua,99
2011,5,Noruega,296
2011,5,Nueva Zelandia,592
2011,5,Países Bajos,1824
2011,5,Panamá,954
2011,5,Paraguay,326
2011,5,Polonia,366
2011,5,Portugal,311
2011,5,Puerto Rico,34
2011,5,Reino Unido,5270
2011,5,Republica Checa,241
2011,5,Rep. Dominicana,267
2011,5,Rumania,130
2011,5,Rusia (Fed),553
2011,5,Singapur,116
2011,5,Sudáfrica,240
2011,5,Suecia,438
2011,5,Suiza,1242
2011,5,Tailandia,94
2011,5,Taiwán,228
2011,5,Trinidad y Tobago,36
2011,5,Turquía,76
2011,5,Ucrania,127
2011,5,Uruguay,801
2011,5,Venezuela,3425
2011,5,Vietnam,25
2011,5,Resto del Mundo,1009
2011,6,Alemania,3599
2011,6,Argentina,8887
2011,6,Aruba,27
2011,6,Australia,1877
2011,6,Austria,435
2011,6,Bélgica,865
2011,6,Bielorrusia,29
2011,6,Bolivia,4716
2011,6,Brasil,9122
2011,6,Bulgaria,49
2011,6,Canadá,4078
2011,6,Chile,56621
2011,6,China,987
2011,6,Colombia,9061
2011,6,Corea del Sur,816
2011,6,Costa Rica,609
2011,6,Croacia,34
2011,6,Cuba,347
2011,6,Dinamarca,376
2011,6,Ecuador,8654
2011,6,Estados Unidos,45649
2011,6,Egipto,18
2011,6,El Salvador,407
2011,6,Eslovaquia,41
2011,6,Eslovenia,58
2011,6,España,8765
2011,6,Filipinas,200
2011,6,Finlandia,201
2011,6,Francia,5429
2011,6,Grecia,90
2011,6,Guatemala,280
2011,6,Honduras,160
2011,6,Hong Kong,41
2011,6,Hungría,67
2011,6,India,341
2011,6,Indonesia,122
2011,6,Irlanda,533
2011,6,Israel,1414
2011,6,Italia,3991
2011,6,Japón,2985
2011,6,Lituania,26
2011,6,Malasia,59
2011,6,Marruecos,14
2011,6,México,3571
2011,6,Nicaragua,88
2011,6,Noruega,397
2011,6,Nueva Zelandia,376
2011,6,Países Bajos,1795
2011,6,Panamá,882
2011,6,Paraguay,307
2011,6,Polonia,439
2011,6,Portugal,310
2011,6,Puerto Rico,79
2011,6,Reino Unido,4448
2011,6,Republica Checa,283
2011,6,Rep. Dominicana,253
2011,6,Rumania,115
2011,6,Rusia (Fed),449
2011,6,Singapur,156
2011,6,Sudáfrica,272
2011,6,Suecia,839
2011,6,Suiza,1300
2011,6,Tailandia,101
2011,6,Taiwán,158
2011,6,Trinidad y Tobago,19
2011,6,Turquía,56
2011,6,Ucrania,100
2011,6,Uruguay,927
2011,6,Venezuela,3433
2011,6,Vietnam,35
2011,6,Resto del Mundo,920
2011,7,Alemania,5378
2011,7,Argentina,14396
2011,7,Aruba,47
2011,7,Australia,2169
2011,7,Austria,838
2011,7,Bélgica,2251
2011,7,Bielorrusia,64
2011,7,Bolivia,7541
2011,7,Brasil,13377
2011,7,Bulgaria,50
2011,7,Canadá,5296
2011,7,Chile,72607
2011,7,China,848
2011,7,Colombia,9439
2011,7,Corea del Sur,1066
2011,7,Costa Rica,735
2011,7,Croacia,94
2011,7,Cuba,390
2011,7,Dinamarca,646
2011,7,Ecuador,14591
2011,7,Estados Unidos,42687
2011,7,Egipto,34
2011,7,El Salvador,411
2011,7,Eslovaquia,57
2011,7,Eslovenia,132
2011,7,España,10415
2011,7,Filipinas,218
2011,7,Finlandia,155
2011,7,Francia,10573
2011,7,Grecia,149
2011,7,Guatemala,291
2011,7,Honduras,164
2011,7,Hong Kong,75
2011,7,Hungría,78
2011,7,India,241
2011,7,Indonesia,58
2011,7,Irlanda,691
2011,7,Israel,1202
2011,7,Italia,5077
2011,7,Japón,2704
2011,7,Lituania,43
2011,7,Malasia,66
2011,7,Marruecos,20
